03/09/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58186.29906760	NaN	NaN	NaN
58186.29907950	NaN	NaN	NaN
58186.29909140	NaN	NaN	NaN
58186.29910331	NaN	NaN	NaN
58186.29911522	NaN	NaN	NaN
58186.29912713	NaN	NaN	NaN
58186.29913903	NaN	NaN	NaN
58186.29915095	NaN	NaN	NaN
58186.29916285	NaN	NaN	NaN
58186.29917475	NaN	NaN	NaN
58186.29918666	NaN	NaN	NaN
58186.29919858	NaN	NaN	NaN
58186.29921047	NaN	NaN	NaN
58186.29922240	NaN	NaN	NaN
58186.29923431	NaN	NaN	NaN
58186.29924620	NaN	NaN	NaN
58186.29925811	NaN	NaN	NaN
58186.29927004	NaN	NaN	NaN
58186.29928196	NaN	NaN	NaN
58186.29929388	NaN	NaN	NaN
58186.29930579	NaN	NaN	NaN
58186.29931771	NaN	NaN	NaN
58186.29932961	NaN	NaN	NaN
58186.29934152	NaN	NaN	NaN
58186.29935342	NaN	NaN	NaN
58186.29936535	NaN	NaN	NaN
58186.29937727	NaN	NaN	NaN
58186.29938919	NaN	NaN	NaN
58186.29940110	NaN	NaN	NaN
58186.29941299	NaN	NaN	NaN
58186.29942490	NaN	NaN	NaN
58186.29943682	NaN	NaN	NaN
58186.29944872	NaN	NaN	NaN
58186.29946063	NaN	NaN	NaN
58186.29947253	NaN	NaN	NaN
58186.29948443	NaN	NaN	NaN
58186.29949633	NaN	NaN	NaN
58186.29950823	NaN	NaN	NaN
58186.29952013	NaN	NaN	NaN
58186.29953204	NaN	NaN	NaN
58186.29954394	NaN	NaN	NaN
58186.29955584	NaN	NaN	NaN
58186.29956776	NaN	NaN	NaN
58186.29957966	NaN	NaN	NaN
58186.29959157	NaN	NaN	NaN
58186.29960346	NaN	NaN	NaN
58186.29961536	NaN	NaN	NaN
58186.29962727	NaN	NaN	NaN
58186.29963919	NaN	NaN	NaN
58186.29965109	NaN	NaN	NaN
